,Tokens,Occurences
30,pieti,"[('T8.txt', 1)]"
31,11,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T9.txt', 1)]"
32,carnegi,"[('T2.txt', 2)]"
33,parrot,"[('T7.txt', 1), ('T8.txt', 1)]"
34,80,"[('T6.txt', 1)]"
35,got,"[('T1.txt', 1), ('T6.txt', 2), ('T8.txt', 1)]"
36,act,"[('T1.txt', 1), ('T4.txt', 2), ('T5.txt', 2), ('T6.txt', 7), ('T9.txt', 1), ('T10.txt', 4)]"
37,adjust,"[('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 2)]"
38,brick,"[('T9.txt', 5)]"
39,earthworm,"[('T1.txt', 2), ('T6.txt', 8), ('T7.txt', 2), ('T8.txt', 1)]"
40,landscap,"[('T4.txt', 1)]"
41,apprehens,"[('T4.txt', 1)]"
42,wing,"[('T1.txt', 1), ('T7.txt', 15)]"
43,glu,"[('T1.txt', 1), ('T5.txt', 1)]"
44,veloc,"[('T1.txt', 2), ('T5.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
45,punt,"[('T7.txt', 1)]"
46,cambrian,"[('T1.txt', 1), ('T7.txt', 6)]"
47,readili,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 2)]"
48,bubbl,"[('T1.txt', 1), ('T4.txt', 1), ('T9.txt', 1)]"
49,hour,"[('T1.txt', 5), ('T2.txt', 1), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 3), ('T8.txt', 3), ('T9.txt', 2), ('T10.txt', 10)]"
50,joul,"[('T9.txt', 1)]"
51,ascent,"[('T1.txt', 2), ('T7.txt', 1)]"
52,cane,"[('T5.txt', 1)]"
53,astrophys,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 1)]"
54,212,"[('T1.txt', 2)]"
55,stronger,"[('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
56,pearli,"[('T1.txt', 2)]"
57,next,"[('T1.txt', 1), ('T3.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
58,ein,"[('T10.txt', 1)]"
59,daylight,"[('T4.txt', 1)]"
60,paper,"[('T1.txt', 1), ('T5.txt', 1), ('T10.txt', 1)]"
61,lime,"[('T1.txt', 1), ('T6.txt', 1)]"
62,dictum,"[('T8.txt', 1)]"
63,inkl,"[('T9.txt', 1)]"
64,gbnewbi,"[('T10.txt', 1)]"
65,lithospher,"[('T6.txt', 1)]"
66,tumbl,"[('T6.txt', 1), ('T8.txt', 1)]"
67,unpromis,"[('T7.txt', 1)]"
68,alg,"[('T7.txt', 2)]"
69,johnston,"[('T6.txt', 1)]"
70,prejudici,"[('T6.txt', 1)]"
71,fish,"[('T1.txt', 11), ('T4.txt', 2), ('T6.txt', 2), ('T7.txt', 30)]"
72,vanilla,"[('T10.txt', 2)]"
73,polyp,"[('T1.txt', 1), ('T6.txt', 3)]"
74,respond,"[('T8.txt', 1)]"
75,mathura,"[('T8.txt', 1)]"
76,deeper,"[('T1.txt', 1), ('T6.txt', 1)]"
77,gland,"[('T1.txt', 1), ('T6.txt', 2), ('T8.txt', 1)]"
78,famili,"[('T1.txt', 4), ('T3.txt', 1), ('T7.txt', 6)]"
79,fitli,"[('T7.txt', 1)]"
80,schultze_,"[('T6.txt', 1)]"
81,primer,"[('T1.txt', 1)]"
82,axe,"[('T1.txt', 1)]"
83,lesser,"[('T10.txt', 1)]"
84,long,"[('T1.txt', 5), ('T2.txt', 2), ('T3.txt', 3), ('T4.txt', 4), ('T5.txt', 2), ('T6.txt', 18), ('T7.txt', 15), ('T8.txt', 1), ('T9.txt', 12), ('T10.txt', 4)]"
85,recomm,"[('T6.txt', 1)]"
86,band,"[('T1.txt', 2), ('T5.txt', 1), ('T9.txt', 1)]"
87,dispens,"[('T9.txt', 1), ('T10.txt', 1)]"
88,glow,"[('T1.txt', 4), ('T2.txt', 7), ('T4.txt', 3), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 4)]"
89,213,"[('T1.txt', 2)]"
90,ice,"[('T1.txt', 1), ('T4.txt', 2), ('T7.txt', 7), ('T8.txt', 1), ('T10.txt', 3)]"
91,elementari,"[('T1.txt', 1), ('T6.txt', 1)]"
92,dozen,"[('T1.txt', 1), ('T4.txt', 1)]"
93,entail,"[('T7.txt', 1)]"
94,balanc,"[('T1.txt', 2), ('T7.txt', 1), ('T8.txt', 1)]"
95,proud,"[('T1.txt', 1), ('T5.txt', 1)]"
96,vari,"[('T1.txt', 2), ('T5.txt', 2), ('T6.txt', 1), ('T7.txt', 6), ('T9.txt', 2), ('T10.txt', 1)]"
97,magnitud,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
98,compli,"[('T10.txt', 9)]"
99,84,"[('T5.txt', 1)]"
100,warn,"[('T8.txt', 1)]"
101,bond,"[('T10.txt', 1)]"
102,_to,"[('T1.txt', 2)]"
103,space_,"[('T10.txt', 1)]"
104,ventur,"[('T8.txt', 1)]"
105,diagram,"[('T1.txt', 11), ('T2.txt', 4), ('T4.txt', 1), ('T6.txt', 4), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 6)]"
106,ramsay,"[('T2.txt', 1)]"
107,foretel,"[('T1.txt', 1)]"
108,park,"[('T1.txt', 5)]"
109,well,"[('T1.txt', 3), ('T2.txt', 2), ('T3.txt', 1), ('T5.txt', 1), ('T6.txt', 6), ('T7.txt', 11), ('T8.txt', 3), ('T9.txt', 2)]"
110,new,"[('T1.txt', 26), ('T2.txt', 1), ('T5.txt', 6), ('T6.txt', 9), ('T7.txt', 11), ('T8.txt', 4), ('T9.txt', 10), ('T10.txt', 3)]"
111,pervad,"[('T7.txt', 1), ('T9.txt', 1)]"
112,effect,"[('T1.txt', 1), ('T2.txt', 3), ('T3.txt', 1), ('T4.txt', 3), ('T5.txt', 4), ('T6.txt', 3), ('T7.txt', 6), ('T8.txt', 4), ('T9.txt', 5), ('T10.txt', 8)]"
113,_miocene_,"[('T7.txt', 1)]"
114,librari,"[('T1.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
115,easili,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
116,seventh,"[('T1.txt', 1), ('T9.txt', 1)]"
117,held,"[('T1.txt', 2), ('T6.txt', 1), ('T9.txt', 4)]"
118,man_,"[('T1.txt', 3), ('T7.txt', 1)]"
119,sandston,"[('T6.txt', 1), ('T7.txt', 3)]"
120,haunt,"[('T7.txt', 13)]"
121,everybodi,"[('T10.txt', 1)]"
122,condit,"[('T1.txt', 2), ('T2.txt', 3), ('T3.txt', 2), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 5), ('T7.txt', 10), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 1)]"
123,top,"[('T1.txt', 1), ('T4.txt', 1), ('T5.txt', 2), ('T7.txt', 1), ('T9.txt', 1)]"
124,consider,"[('T2.txt', 1), ('T5.txt', 8), ('T6.txt', 2), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 6)]"
125,old,"[('T1.txt', 3), ('T6.txt', 4), ('T7.txt', 6), ('T8.txt', 3), ('T10.txt', 3)]"
126,mechan,"[('T5.txt', 1), ('T9.txt', 8), ('T10.txt', 1)]"
127,stir,"[('T9.txt', 1)]"
128,clog,"[('T6.txt', 1)]"
129,shaft,"[('T9.txt', 1)]"
130,61,"[('T1.txt', 2)]"
131,1919,"[('T1.txt', 2), ('T2.txt', 1), ('T9.txt', 1)]"
132,_lingulella_,"[('T7.txt', 1)]"
133,coal,"[('T1.txt', 1), ('T7.txt', 2), ('T9.txt', 18)]"
134,descend,"[('T7.txt', 4), ('T9.txt', 1)]"
135,mammoth,"[('T1.txt', 1), ('T5.txt', 1), ('T7.txt', 2)]"
136,longer,"[('T1.txt', 3), ('T2.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 9), ('T10.txt', 7)]"
137,probabl,"[('T1.txt', 3), ('T2.txt', 2), ('T3.txt', 4), ('T4.txt', 1), ('T6.txt', 7), ('T7.txt', 18), ('T8.txt', 2), ('T9.txt', 3)]"
138,transcend,"[('T1.txt', 1)]"
139,165,"[('T1.txt', 1)]"
140,key,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
141,tract,"[('T1.txt', 1), ('T7.txt', 1)]"
142,date,"[('T1.txt', 2), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
143,squar,"[('T2.txt', 1), ('T7.txt', 1)]"
144,fring,"[('T3.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
145,took,"[('T6.txt', 1), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 1)]"
146,contend,"[('T9.txt', 1)]"
147,portal,"[('T1.txt', 1)]"
148,denot,"[('T2.txt', 1)]"
149,graptolit,"[('T7.txt', 1)]"
150,_reproduct,"[('T2.txt', 1)]"
151,sex,"[('T1.txt', 1), ('T6.txt', 3), ('T7.txt', 2), ('T8.txt', 1)]"
152,wast,"[('T6.txt', 3), ('T9.txt', 2), ('T10.txt', 2)]"
153,glass,"[('T1.txt', 1), ('T2.txt', 6), ('T5.txt', 1), ('T6.txt', 1), ('T9.txt', 6)]"
154,summon,"[('T4.txt', 1)]"
155,milk,"[('T6.txt', 1), ('T7.txt', 1)]"
156,sourc,"[('T1.txt', 2), ('T2.txt', 5), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 5), ('T10.txt', 2)]"
157,needl,"[('T9.txt', 2)]"
158,equip,"[('T6.txt', 1), ('T10.txt', 3)]"
159,_refractors_,"[('T5.txt', 1)]"
160,world,"[('T1.txt', 9), ('T3.txt', 3), ('T4.txt', 1), ('T5.txt', 7), ('T6.txt', 15), ('T7.txt', 5), ('T9.txt', 11), ('T10.txt', 4)]"
161,mile,"[('T1.txt', 29), ('T2.txt', 9), ('T3.txt', 11), ('T4.txt', 8), ('T5.txt', 10), ('T6.txt', 5), ('T7.txt', 6), ('T9.txt', 7), ('T10.txt', 2)]"
162,masteri,"[('T1.txt', 2), ('T7.txt', 2)]"
163,viii,"[('T1.txt', 1), ('T6.txt', 1)]"
164,gentler,"[('T7.txt', 1)]"
165,babi,"[('T1.txt', 3)]"
166,86,"[('T1.txt', 2), ('T5.txt', 1)]"
167,taut,"[('T7.txt', 2)]"
168,hoatzin,"[('T1.txt', 1), ('T7.txt', 1)]"
169,peak,"[('T4.txt', 1)]"
170,_constitut,"[('T10.txt', 1)]"
171,203,"[('T1.txt', 1)]"
172,170,"[('T1.txt', 2)]"
173,bun,"[('T8.txt', 1)]"
174,revel,"[('T1.txt', 3), ('T2.txt', 1)]"
175,violat,"[('T10.txt', 1)]"
176,whirl,"[('T2.txt', 1), ('T3.txt', 1), ('T6.txt', 3), ('T9.txt', 2)]"
177,gull,"[('T7.txt', 1), ('T8.txt', 2)]"
178,neptun,"[('T1.txt', 4), ('T3.txt', 1), ('T5.txt', 1)]"
179,put,"[('T1.txt', 4), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 6), ('T10.txt', 1)]"
180,realli,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 2), ('T9.txt', 5), ('T10.txt', 1)]"
181,mysteri,"[('T2.txt', 1), ('T3.txt', 1), ('T9.txt', 5), ('T10.txt', 4)]"
182,spinal,"[('T7.txt', 2)]"
183,granul,"[('T1.txt', 1), ('T6.txt', 2)]"
184,exagger,"[('T10.txt', 1)]"
185,human,"[('T1.txt', 8), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 3), ('T6.txt', 3), ('T7.txt', 6), ('T9.txt', 1)]"
186,fairbank,"[('T10.txt', 1)]"
187,zinc,"[('T2.txt', 2), ('T9.txt', 12)]"
188,humeru,"[('T7.txt', 1)]"
189,918,"[('T6.txt', 1)]"
190,parasit,"[('T1.txt', 1), ('T6.txt', 8), ('T7.txt', 6)]"
191,yorkshir,"[('T8.txt', 1)]"
192,elev,"[('T6.txt', 1), ('T7.txt', 4)]"
193,_brownian,"[('T10.txt', 1)]"
194,bank,"[('T8.txt', 3)]"
195,caterpillar,"[('T7.txt', 4), ('T8.txt', 2)]"
196,newton,"[('T1.txt', 2), ('T2.txt', 1), ('T6.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
197,remot,"[('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 1), ('T10.txt', 2)]"
198,radio,"[('T2.txt', 4), ('T9.txt', 13)]"
199,climber,"[('T7.txt', 2)]"
200,lizard,"[('T1.txt', 1), ('T7.txt', 3), ('T8.txt', 2)]"
201,reiter,"[('T7.txt', 1)]"
202,lord,"[('T1.txt', 1), ('T6.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
203,entiti,"[('T9.txt', 5), ('T10.txt', 7)]"
204,embryon,"[('T7.txt', 2)]"
205,respect,"[('T3.txt', 1), ('T6.txt', 1), ('T9.txt', 2)]"
206,thrill,"[('T2.txt', 1)]"
207,multipl,"[('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 1)]"
208,hypothes,"[('T9.txt', 2)]"
209,skies_,"[('T5.txt', 1)]"
210,mouth,"[('T1.txt', 1), ('T6.txt', 4), ('T7.txt', 4)]"
211,brisker,"[('T9.txt', 1)]"
212,tempt,"[('T5.txt', 1), ('T7.txt', 1)]"
213,pace,"[('T1.txt', 1), ('T10.txt', 1)]"
214,rejuvenesc,"[('T6.txt', 1)]"
215,meteorit,"[('T1.txt', 2), ('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 5), ('T6.txt', 7)]"
216,comet,"[('T1.txt', 8), ('T2.txt', 1), ('T4.txt', 14)]"
217,pillar,"[('T5.txt', 2)]"
218,describ,"[('T1.txt', 1), ('T2.txt', 3), ('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 3), ('T10.txt', 1)]"
219,foresight,"[('T1.txt', 2)]"
220,tides_,"[('T10.txt', 1)]"
221,everi,"[('T1.txt', 4), ('T2.txt', 10), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 6), ('T6.txt', 3), ('T7.txt', 8), ('T9.txt', 11), ('T10.txt', 6)]"
222,thirti,"[('T1.txt', 1), ('T2.txt', 1), ('T4.txt', 1), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 1), ('T10.txt', 1)]"
223,revolut,"[('T1.txt', 1), ('T5.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
224,item,"[('T6.txt', 1), ('T7.txt', 2)]"
225,armour,"[('T7.txt', 3)]"
226,divers,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 3)]"
227,peopl,"[('T1.txt', 4), ('T3.txt', 1), ('T7.txt', 4), ('T8.txt', 1), ('T9.txt', 1), ('T10.txt', 3)]"
228,37,"[('T1.txt', 2)]"
229,worlds_,"[('T5.txt', 1)]"
230,consid,"[('T1.txt', 2), ('T3.txt', 1), ('T4.txt', 2), ('T5.txt', 1), ('T6.txt', 3), ('T9.txt', 6), ('T10.txt', 3)]"
231,prohibit,"[('T10.txt', 1)]"
232,struck,"[('T6.txt', 1)]"
233,reed,"[('T1.txt', 1)]"
234,robber,"[('T1.txt', 1)]"
235,cleft,"[('T7.txt', 4)]"
236,ether,"[('T1.txt', 3), ('T2.txt', 1), ('T5.txt', 1), ('T9.txt', 33), ('T10.txt', 18)]"
237,wide,"[('T1.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T7.txt', 2), ('T8.txt', 1), ('T10.txt', 1)]"
238,see,"[('T1.txt', 9), ('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 4), ('T5.txt', 9), ('T6.txt', 4), ('T7.txt', 3), ('T8.txt', 3), ('T9.txt', 11), ('T10.txt', 10)]"
239,rarest,"[('T1.txt', 1)]"
240,observatori,"[('T1.txt', 19), ('T2.txt', 7), ('T3.txt', 1), ('T4.txt', 7), ('T5.txt', 6), ('T6.txt', 1)]"
241,266,"[('T1.txt', 1)]"
242,titan,"[('T3.txt', 1)]"
243,intact,"[('T8.txt', 1)]"
244,peculiar,"[('T1.txt', 2), ('T2.txt', 1), ('T7.txt', 3), ('T8.txt', 1), ('T9.txt', 2)]"
245,intens,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 2), ('T9.txt', 1), ('T10.txt', 1)]"
246,stamp,"[('T7.txt', 1)]"
247,taken,"[('T1.txt', 6), ('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 1), ('T5.txt', 2), ('T6.txt', 2), ('T7.txt', 5), ('T9.txt', 3), ('T10.txt', 1)]"
248,compact,"[('T1.txt', 1), ('T7.txt', 1)]"
249,riddl,"[('T6.txt', 1)]"
250,callou,"[('T6.txt', 1)]"
251,largest,"[('T2.txt', 1), ('T3.txt', 1), ('T4.txt', 1), ('T5.txt', 5), ('T7.txt', 1)]"
252,colleg,"[('T1.txt', 3), ('T4.txt', 1)]"
253,affair,"[('T6.txt', 1), ('T10.txt', 1)]"
254,complianc,"[('T10.txt', 5)]"
255,canals_,"[('T5.txt', 1)]"
256,lack,"[('T1.txt', 1), ('T4.txt', 1), ('T7.txt', 1)]"
257,drag,"[('T10.txt', 1)]"
258,overcharg,"[('T9.txt', 1)]"
259,hobbl,"[('T8.txt', 1)]"
260,valid,"[('T7.txt', 1)]"
261,scarlet,"[('T1.txt', 2)]"
262,regard,"[('T1.txt', 4), ('T3.txt', 2), ('T5.txt', 1), ('T6.txt', 4), ('T7.txt', 5), ('T8.txt', 2), ('T9.txt', 2)]"
263,_electrons_,"[('T10.txt', 1)]"
264,bat,"[('T7.txt', 4)]"
265,store,"[('T1.txt', 2), ('T2.txt', 1), ('T5.txt', 1), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 5), ('T10.txt', 3)]"
266,circl,"[('T1.txt', 5), ('T6.txt', 1), ('T7.txt', 1), ('T9.txt', 3)]"
267,startl,"[('T10.txt', 1)]"
268,hive,"[('T7.txt', 1)]"
269,tortuou,"[('T9.txt', 1)]"
270,patent,"[('T2.txt', 1)]"
271,wit,"[('T1.txt', 2), ('T8.txt', 2), ('T10.txt', 1)]"
272,strict,"[('T7.txt', 1), ('T10.txt', 1)]"
273,herald,"[('T4.txt', 1), ('T7.txt', 1)]"
274,fair,"[('T1.txt', 1)]"
275,insert,"[('T7.txt', 1)]"
276,retir,"[('T8.txt', 1)]"
277,provis,"[('T10.txt', 2)]"
278,ladi,"[('T8.txt', 1)]"
279,prove,"[('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 2), ('T8.txt', 1), ('T9.txt', 2), ('T10.txt', 2)]"
280,sunshin,"[('T6.txt', 1), ('T7.txt', 1)]"
281,telephon,"[('T2.txt', 1)]"
282,strong,"[('T1.txt', 1), ('T2.txt', 1), ('T5.txt', 1), ('T7.txt', 2), ('T8.txt', 2), ('T9.txt', 2)]"
283,adam,"[('T1.txt', 2)]"
284,thrush,"[('T1.txt', 1), ('T6.txt', 1), ('T8.txt', 8)]"
285,mind,"[('T1.txt', 17), ('T4.txt', 2), ('T6.txt', 10), ('T8.txt', 6), ('T9.txt', 1), ('T10.txt', 1)]"
286,underr,"[('T9.txt', 1)]"
287,proper,"[('T6.txt', 2), ('T9.txt', 2)]"
288,saucer,"[('T4.txt', 1), ('T8.txt', 1)]"
289,jaw,"[('T1.txt', 1), ('T7.txt', 2), ('T8.txt', 1)]"
290,utterli,"[('T6.txt', 1), ('T7.txt', 1)]"
291,twelfth,"[('T1.txt', 1)]"
292,ensur,"[('T10.txt', 1)]"
293,acid,"[('T6.txt', 4)]"
294,124,"[('T1.txt', 2)]"
295,avalanch,"[('T7.txt', 1)]"
296,generalis,"[('T7.txt', 1)]"
297,sceptic,"[('T3.txt', 1), ('T9.txt', 1)]"
298,whatev,"[('T4.txt', 1), ('T5.txt', 1), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 3), ('T10.txt', 2)]"
299,culmin,"[('T1.txt', 1), ('T7.txt', 3), ('T9.txt', 1)]"
300,children,"[('T1.txt', 1)]"
301,rotif,"[('T6.txt', 2)]"
302,breather_,"[('T7.txt', 1)]"
303,eater,"[('T7.txt', 1)]"
304,shell,"[('T1.txt', 6), ('T5.txt', 1), ('T6.txt', 3), ('T7.txt', 4), ('T8.txt', 8), ('T9.txt', 1)]"
305,offspr,"[('T6.txt', 1), ('T7.txt', 3)]"
306,168,"[('T1.txt', 1)]"
307,orohippu,"[('T7.txt', 2)]"
308,founder,"[('T7.txt', 1)]"
309,debt,"[('T6.txt', 1)]"
310,line,"[('T1.txt', 5), ('T2.txt', 13), ('T3.txt', 3), ('T4.txt', 3), ('T5.txt', 6), ('T6.txt', 3), ('T7.txt', 7), ('T8.txt', 3), ('T9.txt', 3), ('T10.txt', 1)]"
311,232,"[('T1.txt', 2)]"
312,maxwel,"[('T1.txt', 1), ('T10.txt', 1)]"
313,convey,"[('T4.txt', 1), ('T9.txt', 2)]"
314,brackish,"[('T7.txt', 1)]"
315,69,"[('T1.txt', 3)]"
316,astronom,"[('T1.txt', 18), ('T2.txt', 2), ('T3.txt', 9), ('T4.txt', 5), ('T5.txt', 11), ('T10.txt', 1)]"
317,maladi,"[('T6.txt', 1)]"
318,welfar,"[('T6.txt', 1)]"
319,halv,"[('T6.txt', 3)]"
320,parallax,"[('T1.txt', 1)]"
321,sprawl,"[('T3.txt', 1)]"
322,dog,"[('T1.txt', 3), ('T6.txt', 1), ('T7.txt', 1), ('T8.txt', 5)]"
323,phrase,"[('T1.txt', 1), ('T6.txt', 1), ('T8.txt', 1), ('T10.txt', 4)]"
324,qualiti,"[('T7.txt', 3), ('T8.txt', 1)]"
325,unsteadi,"[('T8.txt', 1)]"
326,acut,"[('T8.txt', 1)]"
327,crook,"[('T1.txt', 1)]"
328,agre,"[('T1.txt', 1), ('T10.txt', 10)]"
329,asexu,"[('T6.txt', 4)]"
330,skill,"[('T5.txt', 1), ('T7.txt', 2)]"
331,swam,"[('T8.txt', 1)]"
332,thinker,"[('T1.txt', 1)]"
333,calcar,"[('T7.txt', 1)]"
334,87,"[('T1.txt', 1)]"
335,futur,"[('T1.txt', 2), ('T4.txt', 1), ('T5.txt', 4), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 4), ('T10.txt', 3)]"
336,nuclear,"[('T6.txt', 1)]"
337,south,"[('T1.txt', 2), ('T2.txt', 1), ('T4.txt', 1), ('T5.txt', 1), ('T7.txt', 4), ('T9.txt', 2)]"
338,releas,"[('T1.txt', 1), ('T9.txt', 1)]"
339,nebula,"[('T1.txt', 9), ('T4.txt', 8), ('T5.txt', 10), ('T6.txt', 6), ('T7.txt', 3), ('T9.txt', 1)]"
340,lose,"[('T6.txt', 2), ('T9.txt', 3)]"
341,delic,"[('T1.txt', 1), ('T7.txt', 2), ('T10.txt', 1)]"
342,limeston,"[('T1.txt', 1), ('T6.txt', 1), ('T7.txt', 1)]"
343,press,"[('T1.txt', 7), ('T7.txt', 1), ('T9.txt', 1)]"
344,paw,"[('T8.txt', 2)]"
345,engrain,"[('T8.txt', 1)]"
346,2a,"[('T7.txt', 1)]"
347,sum,"[('T7.txt', 1), ('T10.txt', 1)]"
348,silken,"[('T6.txt', 1)]"
349,gambiens,"[('T1.txt', 1), ('T6.txt', 1)]"
350,world_,"[('T7.txt', 1)]"
351,profitless,"[('T6.txt', 1)]"
352,neighbour,"[('T6.txt', 1), ('T9.txt', 1)]"
353,overlook,"[('T7.txt', 1)]"
354,seal,"[('T7.txt', 1), ('T8.txt', 2)]"
355,eventu,"[('T6.txt', 2), ('T7.txt', 4)]"
356,legitim,"[('T6.txt', 1)]"
357,newbi,"[('T10.txt', 1)]"
358,commod,"[('T9.txt', 1)]"
359,35,"[('T5.txt', 1), ('T9.txt', 1)]"
360,beast,"[('T7.txt', 1)]"
361,emit,"[('T2.txt', 3), ('T5.txt', 1), ('T9.txt', 4)]"
362,drawn,"[('T1.txt', 8), ('T3.txt', 1), ('T6.txt', 4), ('T8.txt', 1)]"
363,train,"[('T8.txt', 2), ('T9.txt', 4)]"
364,sweet,"[('T7.txt', 1)]"
365,fabric,"[('T5.txt', 1)]"
366,expositor,"[('T7.txt', 1)]"
367,captur,"[('T1.txt', 2), ('T6.txt', 2), ('T7.txt', 3)]"
368,intricaci,"[('T1.txt', 1)]"
369,constantli,"[('T2.txt', 1), ('T8.txt', 1), ('T9.txt', 4)]"
370,cool,"[('T2.txt', 3), ('T3.txt', 4), ('T4.txt', 4), ('T6.txt', 2), ('T7.txt', 1), ('T9.txt', 5), ('T10.txt', 1)]"
371,800,"[('T1.txt', 1), ('T9.txt', 1)]"
372,peacock,"[('T6.txt', 1)]"
373,neutralis,"[('T9.txt', 1)]"
374,draperi,"[('T2.txt', 1)]"
375,despit,"[('T10.txt', 1)]"
376,spectat,"[('T6.txt', 1)]"
377,einstein,"[('T1.txt', 2), ('T10.txt', 3)]"
378,220,"[('T1.txt', 1)]"
379,_photograph,"[('T7.txt', 1)]"
380,grandest,"[('T1.txt', 1), ('T6.txt', 1), ('T9.txt', 1)]"
381,reliabl,"[('T2.txt', 2)]"
382,pet,"[('T8.txt', 1)]"
383,alon,"[('T2.txt', 1), ('T7.txt', 1), ('T10.txt', 1)]"
384,helpless,"[('T7.txt', 1)]"
